Type of Fault,Test Pattern,Fault-Free Response
1,10010000100100001101110000000000100101000,10001001100000110001010100000000
1,00100000000010001001100000000001101011101,10000100101010001111100000100001
1,10110000101010001011100000000001000010001,10010000101010001011100000000001
1,00110000100010001011100000000001001001101,00110000100010001011100000000001
1,00010000100010001011100000000001001000001,00010000100010001011100000000001
1,00010000100010001011100000000001001011101,00010000100010001011100000000001
1,00010000100010001011100000000001001010001,00010000100010001011100000000001
1,00010000101010001011100000000001001001101,00010000101010001011100000000001
1,00110000101010001011100000000001001010001,00110000101010001011100000000001
1,00110000101010001011100000000001001000001,00110000101010001011100000000001
1,00110000101010001011100000000001001001001,00110000101010001011100000000001
1,00010000100010001011100000000001001001100,00010000100010001011100000000001
1,00110000101010001011100000000001001011100,00110000101010001011100000000001
1,00010000100010001011100000000001000001000,00010000100010001011100000000001
1,00010000101010001011100000000001000000001,00010000101010001011100000000001
1,00010000101010001011100000000001000010000,00010000101010001011100000000001
1,00010000101010001011100000000001000010001,00010000101010001011100000000001
1,00010000101010001011100000000001000011101,00010000101010001011100000000001
1,00110000101010001011100000000001000011000,00110000101010001011100000000001
1,00110000100010001011100000000001000010101,00110000100010001011100000000001
1,00110000100010001011100000000001000001101,00110000100010001011100000000001
1,00110000100010001011100000000001000000101,00110000100010001011100000000001
1,00110000000010001011100000000001000010001,00110000001010001011100000000001
1,10110000000010001011100000000001001000001,10110000000010001011100000000001
1,10010000000010001011100000000001001011101,10010000000010001011100000000001
1,00000000000000000000000001010001000000000,00000000000000000000000001010101
1,00000000000000000001001000010000000000000,00000000000000000001001000010010
1,00000000000000000001000101000000000000000,00000000000000000001000101000100
1,00000000000000000000001100000001000000000,00000000000000000000001100000011
1,00000000000000000001001001000101000000000,00000000000000000001001001000111
1,00000000000000000001000100010101000000000,00000000000000000001000100010001
1,00000000000000000000001101010100000000001,00000000000000000000001101010110
1,00000000000000000000000000000100000000001,00000000000000000000000000000000
1,00000000000000000100001001000000000000001,00000000000000000100001001000010
1,00000000000000000100000101000101000000001,00000000000000000100000101000001
1,00000000000000000100001000010101000000000,00000000000000000100001000010111
1,00000000000000000100000100010000000000000,00000000000000000100000100010100
1,00000000000000000101001101010001000000001,00000000000000000101001101010011
1,00000000000000000101001100000100000000000,00000000000000000101001100000110
1,00000000000000000101000001010100000000001,00000000000000000101000001010000
1,00000000000000000101000000000001000000001,00000000000000000101000000000101
1,00000000010001000001001001000000000000000,00000000010001000001001001000100
1,00000000010001000001001000010101000000000,00000000010001000001001000010001
1,00000000010001000100001001000101000000000,00000000010001000100001001000001
1,00000000010001000100001000010000000000000,00000000010001000100001000010100
1,00000000010001000100000101000000000000001,00000000010001000100000101000010
1,00000000010001000100000100010101000000000,00000000010001000100000100010111
1,00000000010001000001000100010000000000000,00000000010001000001000100010010
1,00000000010001000001000101000101000000000,00000000010001000001000101000111
1,00000000010001000101000000000100000000000,00000000010001000101000000000110
1,00000000000000000110010000001000000110101,00110000110000001010110011100100
1,00100000101000000000100000000011100100001,00100000100010100110111100000011
1,00100000100000000110100000000111001001100,10100000101001000010100011010111
1,10010000000000001000100000000111001011100,10010000001000001000100000000111
1,00110000000000001000100000000111001000101,00110000000000001000100000000111
1,00010000000000001000100000000111001000101,00010000000000001000100000000111
1,00010000000000001000100000000111001010001,00010000000000001000100000000111
1,00010000000000001000100000000111001011101,00010000000000001000100000000111
1,00010000001000001000100000000111001010101,00010000001000001000100000000111
1,00110000001000001000100000000111001011101,00110000001000001000100000000111
1,00110000001000001000100000000111001001101,00110000001000001000100000000111
1,00110000001000001000100000000111001000101,00110000001000001000100000000111
1,00010000001000001000100000000111001001100,00010000001000001000100000000111
1,00110000001000001000100000000111001010100,00110000001000001000100000000111
1,00110000000000001000100000000111001001100,00110000000000001000100000000111
1,00010000000000001000100000000111000001001,00010000000000001000100000000111
1,00010000001000001000100000000111000001000,00010000001000001000100000000111
1,00010000001000001000100000000111000011000,00010000001000001000100000000111
1,00010000001000001000100000000111000011001,00010000001000001000100000000111
1,00010000001000001000100000000111000010001,00010000001000001000100000000111
1,00110000001000001000100000000111000010000,00110000001000001000100000000111
1,00110000000000001000100000000111000011101,00110000000000001000100000000111
1,00110000000000001000100000000111000010000,00110000000000001000100000000111
1,00110000000000001000100000000111000000000,00110000000000001000100000000111
1,00110000000000001000100000000111000001100,00110000000000001000100000000111
1,10100000101100000000110001001110111101101,01100000010000000100100001000010
1,00110000110101001000010000000000101110001,00111001110111010100001100000000
1,10000000111001001100100000000100000010001,10000100111000001110100010000100
1,10010000010001001000100000000100000010101,10110000010001001000100000000100
1,00110000010001001000100000000100001001101,00110000010001001000100000000100
1,00010000010001001000100000000100001001101,00010000010001001000100000000100
1,00010000010001001000100000000100001010001,00010000010001001000100000000100
1,00010000010001001000100000000100001011101,00010000010001001000100000000100
1,00010000010001001000100000000100001011001,00010000010001001000100000000101
1,00010000011001001000100000000100001010101,00010000011001001000100000000100
1,00110000011001001000100000000100001010101,00110000011001001000100000000100
1,00110000011001001000100000000100001001001,00110000011001001000100000000100
1,00110000011001001000100000000100001000101,00110000011001001000100000000100
1,00110000011001001000100000000100001000001,00110000011001001000100000000101
1,00010000010001001000100000000100001000100,00010000010001001000100000000100
1,00110000011001001000100000000100001001100,00110000011001001000100000000100
1,00110000010001001000100000000100001000000,00110000010001001000100000000100
1,00010000010001001000100000000100000011000,00010000010001001000100000000100
1,00010000011001001000100000000100000000101,00010000011001001000100000000100
1,00010000011001001000100000000100000011100,00010000011001001000100000000100
1,00010000011001001000100000000100000011001,00010000011001001000100000000100
1,00010000011001001000100000000100000010001,00010000011001001000100000000100
1,00010000011001001000100000000100000010101,00010000011001001000100000000101
1,00110000011001001000100000000100000000100,00110000011001001000100000000100
1,00110000010001001000100000000100000011001,00110000010001001000100000000100
1,11110000010100000000000011001010011011101,11100000110000001110000010001000
1,00000000000000001000001010000011000000000,00000000000000001000001010000010
1,00000000000000000010100010000011000000000,00000000000000000010100010000010
1,00000000000000001010000000001011000000000,00000000000000001010000000001010
1,00000000000000000000101000001011000000000,00000000000000000000101000001010
1,00000000000000000010100001001111000000001,00000000000000000010100001001110
1,00000000000000001000001001001111000000000,00000000000000001000001001001110
